,location_name,from,to,from_lat_long,to_lat_long
2006,1600-1650 W Beverly Glen Pkwy,1600 W Beverly Glen Pkwy,1650 W Beverly Glen Pkwy,"[41.712939027730926, -87.66420893873732]","[41.713086, -87.664981]"
2007,On S Keeler Ave From W 55th St To W 58th St,S Keeler Ave And W 55th St,S Keeler Ave And W 58th St,"[41.793185, -87.728032]","[41.7876941, -87.727874]"
2008,On W 101st Pl From S Prospect Ave To S Wood St,W 101st Pl And S Prospect Ave,W 101st Pl And S Wood St,"[41.709001, -87.662322]","[41.708918, -87.667181]"
2015,6601-6603 S Ashland Ave,6601 S Ashland Ave,6603 S Ashland Ave,"[41.773671, -87.663555]","[41.77359962303015, -87.6639432221101]"
2016,5600-5602 W Adams Blvd,5600 W Adams Blvd,5602 W Adams Blvd,"[41.87840802049183, -87.76448266524555]","[41.87840797681053, -87.7644865810384]"
2017,11501-11503 S Homewood Ave,11501 S Homewood Ave,11503 S Homewood Ave,"[41.68501361541992, -87.67050539778943]","[41.68500885856034, -87.67050626267583]"
2024,On W 92nd St From S Wentworth Ave To S Princeton Ave,W 92nd St And S Wentworth Ave,W 92nd St And S Princeton Ave,"[41.727138, -87.628762]","[41.727025, -87.629797]"
2025,On W 56th St From S Keeler Ave To S Komensky Ave,W 56th St And S Keeler Ave,W 56th St And S Komensky Ave,"[41.791391, -87.727985]","[41.791422, -87.72431]"
2026,On S Throop St From W 95th St To W 98th St,S Throop St And W 95th St,S Throop St And W 98th St,"[41.721361, -87.655395]","[41.7158674, -87.6552362]"
2027,On W 57th St From S Keeler Ave To S Tripp Ave,W 57th St And S Keeler Ave,W 57th St And S Tripp Ave,"[41.78951, -87.7279276]","[41.789486, -87.7291722]"
2028,On W Foster Ave From N Sheridan Rd To N Marine Dr,W Foster Ave And N Sheridan Rd,W Foster Ave And N Marine Dr,"[41.9763917, -87.6550122]","[41.976393, -87.652167]"
2032,400-402 E 109th St,400 E 109th St,402 E 109th St,"[41.696636, -87.613254]","[41.69641435863286, -87.61318290534884]"
2033,201-203 W 116th St,201 W 116th St,203 W 116th St,"[41.68336496316702, -87.62923320407981]","[41.68336511590153, -87.62922289515366]"
2034,On W 76th St From S Stewart Ave To S Harvard Ave,W 76th St And S Stewart Ave,W 76th St And S Harvard Ave,"[41.756256, -87.634442]","[41.75629, -87.632834]"
2035,On W 76th St From S Harvard Ave To S Yale Ave,W 76th St And S Harvard Ave,W 76th St And S Yale Ave,"[41.75629, -87.632834]","[41.756309, -87.631214]"
2036,On W 76th St From S Yale Ave To S Wentworth Ave,W 76th St And S Yale Ave,W 76th St And S Wentworth Ave,"[41.756309, -87.631214]","[41.75634, -87.629594]"
2037,On E 69th St From S St Lawrence Ave To S Langley Ave,E 69th St And S St Lawrence Ave,E 69th St And S Langley Ave,"[41.76937890000001, -87.61046285]","[41.7694538, -87.6081473]"
2040,On W 116th St From S Western Ave To S Bell Ave,W 116th St And S Western Ave,W 116th St And S Bell Ave,"[41.68273, -87.680947]","[41.683126, -87.677317]"
2041,On S Ridgewood Ct From E 55th St To E 54th St,S Ridgewood Ct And E 55th St,S Ridgewood Ct And E 54th St,"[41.795604, -87.591704]","[41.7980349, -87.5926175]"
2042,On N Wolcott Ave From W Winnemac Ave To W Balmoral Ave,N Wolcott Ave And W Winnemac Ave,N Wolcott Ave And W Balmoral Ave,"[41.973329, -87.676322]","[41.979728, -87.676518]"
2043,On W Bryn Mawr Ave From N Kedzie Ave To N St Louis Ave,W Bryn Mawr Ave And N Kedzie Ave,W Bryn Mawr Ave And N St Louis Ave,"[41.983062, -87.708879]","[41.982946, -87.716201]"
2045,On W 77th St From S Emerald Ave To S Union Ave,W 77th St And S Emerald Ave,W 77th St And S Union Ave,"[41.754287, -87.642924]","[41.754311, -87.641701]"
2047,612-800 W 77th St,612 W 77th St,800 W 77th St,"[41.7543707, -87.640058]","[41.754318966060765, -87.64422]"
2048,On S Hoyne Ave From W Cermak Rd To W 18th St,S Hoyne Ave And W Cermak Rd,S Hoyne Ave And W 18th St,"[41.85216, -87.6783015]","[41.8576896, -87.6784551]"
2049,On S Austin Ave From W 59th St To W 63rd St,S Austin Ave And W 59th St,S Austin Ave And W 63rd St,"[41.7852006, -87.7717542]","[41.777902, -87.771484]"
2050,On S Halsted St From W 31st St To W 32nd St,S Halsted St And W 31st St,S Halsted St And W 32nd St,"[41.838071, -87.646276]","[41.8364651, -87.6462324]"
2051,On W 32nd St From S Racine Ave To S May St,W 32nd St And S Racine Ave,W 32nd St And S May St,"[41.836101, -87.655969]","[41.836113, -87.654739]"
2053,On S Morgan St From W 32nd Pl To W 33rd Pl,S Morgan St And W 32nd Pl,S Morgan St And W 33rd Pl,"[41.835617, -87.651086]","[41.833799, -87.651049]"
2054,On W 33rd Pl From S Morgan St To S Lituanica Ave,W 33rd Pl And S Morgan St,W 33rd Pl And S Lituanica Ave,"[41.833799, -87.651049]","[41.8337974, -87.6485916]"
2056,On W 32nd Pl From S May St To S Morgan St,W 32nd Pl And S May St,W 32nd Pl And S Morgan St,"[41.835205, -87.654716]","[41.835617, -87.651086]"
2059,On W 46th St From S Rockwell St To S Fairfield Ave,W 46th St And S Rockwell St,W 46th St And S Fairfield Ave,"[41.810209, -87.689361]","[41.810121, -87.693044]"
2060,On W 47th St From S Kedzie Ave To S Whipple St,W 47th St And S Kedzie Ave,W 47th St And S Whipple St,"[41.808134, -87.703972]","[41.808213, -87.700308]"
2061,On W 47th St From S Whipple St To S Richmond St,W 47th St And S Whipple St,W 47th St And S Richmond St,"[41.808213, -87.700308]","[41.808252, -87.697862]"
2062,On E 107th St From S Langley Ave To S Champlain Ave,E 107th St And S Langley Ave,E 107th St And S Champlain Ave,"[41.7001108, -87.6062166]","[41.700091, -87.60737]"
2063,On S Langley Ave From E 106th St To E 108th St,S Langley Ave And E 106th St,S Langley Ave And E 108th St,"[41.701945, -87.606293]","[41.698249, -87.606149]"
2064,On E 108th St From S Vernon Ave To S Rhodes Ave,E 108th St And S Vernon Ave,E 108th St And S Rhodes Ave,"[41.698211, -87.612313]","[41.698244, -87.609853]"
2066,On S Keeler Ave From W 58th St To W 55th St,S Keeler Ave And W 58th St,S Keeler Ave And W 55th St,"[41.7876941, -87.727874]","[41.793185, -87.728032]"
2067,On W 56th St From S Kedvale Ave To S Komensky Ave,W 56th St And S Kedvale Ave,W 56th St And S Komensky Ave,"[41.791397, -87.726745]","[41.791422, -87.72431]"
2068,On S Parnell Ave From W 123rd St To W 124th St,S Parnell Ave And W 123rd St,S Parnell Ave And W 124th St,"[41.670596, -87.635668]","[41.668773, -87.635609]"
2069,On W Barry Ave From N Oriole Ave To N Oketo Ave,W Barry Ave And N Oriole Ave,W Barry Ave And N Oketo Ave,"[41.936138, -87.816424]","[41.936254, -87.811541]"
2070,On S Honore St From W 48th St To W 45th St,S Honore St And W 48th St,S Honore St And W 45th St,"[41.806724, -87.671015]","[41.8121442, -87.6711304]"
2071,On W 45th St From S Wolcott Ave To S Hermitage Ave,W 45th St And S Wolcott Ave,W 45th St And S Hermitage Ave,"[41.8121552, -87.6723347]","[41.8122047, -87.6686967]"
2072,On W 46th St From S Damen Ave To S Honore St,W 46th St And S Damen Ave,W 46th St And S Honore St,"[41.8103654, -87.6745776]","[41.8103543, -87.6710863]"
2073,On N Overhill Ave From W Jarvis Ave To W Chase Ave,N Overhill Ave And W Jarvis Ave,N Overhill Ave And W Chase Ave,"[42.0150532, -87.8187831]","[42.013225, -87.8188161]"
2074,On N Mildred Ave From W Diversey Pkwy To W Wolfram St,N Mildred Ave And W Diversey Pkwy,N Mildred Ave And W Wolfram St,"[41.932693, -87.65142]","[41.933596, -87.651443]"
2075,On W Diversey Pkwy From N Halsted St To N Mildred Ave,W Diversey Pkwy And N Halsted St,W Diversey Pkwy And N Mildred Ave,"[41.932745, -87.64899]","[41.932693, -87.65142]"
2076,On E 98th St From S Escanaba Ave To S Commercial Ave,E 98th St And S Escanaba Ave,E 98th St And S Commercial Ave,"[41.717297, -87.55376]","[41.717303, -87.551018]"
2077,On S Escanaba Ave From E 99th St To E 98th St,S Escanaba Ave And E 99th St,S Escanaba Ave And E 98th St,"[41.715462, -87.5537308]","[41.717297, -87.55376]"
2078,On E 98th St From S Muskegon Ave To S Escanaba Ave,E 98th St And S Muskegon Ave,E 98th St And S Escanaba Ave,"[41.717307, -87.555138]","[41.717297, -87.55376]"
2079,On E 98th St From S Muskegon Ave To S Marquette Ave,E 98th St And S Muskegon Ave,E 98th St And S Marquette Ave,"[41.717307, -87.555138]","[41.71729, -87.557915]"
2082,On W 46th St From S Lavergne Ave To S Laporte Ave,W 46th St And S Lavergne Ave,W 46th St And S Laporte Ave,"[41.80937, -87.748053]","[41.8094043, -87.7468831]"
2083,On W 46th St From S Leamington Ave To S Leclaire Ave,W 46th St And S Leamington Ave,W 46th St And S Leclaire Ave,"[41.809333, -87.751715]","[41.809354, -87.7504826]"
2084,On W 46th St From S Laramie Ave To S Leamington Ave,W 46th St And S Laramie Ave,W 46th St And S Leamington Ave,"[41.8093145, -87.7528979]","[41.809333, -87.751715]"
2086,On E 128th St From S Torrence Ave To S Escanaba Ave,E 128th St And S Torrence Ave,E 128th St And S Escanaba Ave,"[41.66284, -87.5587225]","[41.66284, -87.553214]"
2087,On E 128th St From S Torrence Ave To S Exchange Ave,E 128th St And S Torrence Ave,E 128th St And S Exchange Ave,"[41.66284, -87.5587225]","[41.662838, -87.551996]"
2089,On N Hiawatha Ave From W Peterson Ave To W Kilpatrick Ave.,N Hiawatha Ave And W Peterson Ave,N Hiawatha Ave And W Kilpatrick Ave.,"[41.990087200000005, -87.7420321]","[41.9916767, -87.7454214]"
2090,On W Peterson Ave From N Kilbourn Ave To N Hiawatha Ave,W Peterson Ave And N Kilbourn Ave,W Peterson Ave And N Hiawatha Ave,"[41.9900412, -87.7408028]","[41.990087200000005, -87.7420321]"
2091,On E 53rd St From S Cornell Ave To E 1725,E 53rd St And S Cornell Ave,1725 E 53rd St,"[41.799619, -87.585541]","[41.7993164, -87.5828857]"
2092,On N Newgard Ave From W Albion Ave To N 6434,N Newgard Ave And W Albion Ave,6434 N Newgard Ave,"[42.0017724, -87.6668521]","[41.999212, -87.66712]"
2093,On N Octavia Ave From W Greenleaf Ave To W Ibsen St,N Octavia Ave And W Greenleaf Ave,N Octavia Ave And W Ibsen St,"[42.008919, -87.809108]","[42.006213, -87.809138]"
2094,On N Orange Ave From W Addison St To W Cornelia Ave,N Orange Ave And W Addison St,N Orange Ave And W Cornelia Ave,"[41.945095, -87.824128]","[41.94312, -87.824034]"
2095,On N Pulaski Rd From W Diversey Ave To W Schubert Ave,N Pulaski Rd And W Diversey Ave,N Pulaski Rd And W Schubert Ave,"[41.931814, -87.726984]","[41.9299869, -87.7269123]"
2096,On N Racine Ave From W Chicago Ave To W Augusta Blvd,N Racine Ave And W Chicago Ave,N Racine Ave And W Augusta Blvd,"[41.896259, -87.657521]","[41.8998647, -87.6575942]"
2097,On N Ridgeway Ave From W George St To W Diversey Ave,N Ridgeway Ave And W George St,N Ridgeway Ave And W Diversey Ave,"[41.933715, -87.720913]","[41.931891, -87.720864]"
2098,On N Sacramento Ave From W Farwell Ave To W Pratt Blvd,N Sacramento Ave And W Farwell Ave,N Sacramento Ave And W Pratt Blvd,"[42.0056371, -87.7045991]","[42.004747, -87.704611]"
2099,On N Sandburg Ter From W Germania Pl To N 1577,N Sandburg Ter And W Germania Pl,1577 N Sandburg Ter,"[41.9104131, -87.6324518]","[41.910822110068736, -87.6324172309468]"
2100,On N Sheffield Ave From W Nelson St To W Belmont Ave,N Sheffield Ave And W Nelson St,N Sheffield Ave And W Belmont Ave,"[41.937172, -87.654]","[41.939941, -87.65409]"
2101,On N State St From W Chicago Ave To N 333,N State St And W Chicago Ave,333 N State St,"[41.8966859, -87.6281876]","[41.888583499800504, -87.62803620289388]"
2102,On N Trumbull Ave From W Chicago Ave To W Franklin Blvd,N Trumbull Ave And W Chicago Ave,N Trumbull Ave And W Franklin Blvd,"[41.8955242, -87.7126651]","[41.890251, -87.712518]"
2103,On N Washtenaw Ave From W Wabansia Ave To W Le Moyne St,N Washtenaw Ave And W Wabansia Ave,N Washtenaw Ave And W Le Moyne St,"[41.912075, -87.694581]","[41.908433, -87.694472]"
2104,On S Avalon Ave From E 92nd St To E 93rd St,S Avalon Ave And E 92nd St,S Avalon Ave And E 93rd St,"[41.7276866, -87.5936989]","[41.725869, -87.593678]"
2105,On S Blue Island Ave From S Leavitt St To S Western Ave,S Blue Island Ave And S Leavitt St,S Blue Island Ave And S Western Ave,"[41.8466804, -87.6806099]","[41.8449468, -87.68519549999999]"
2106,On S Calumet Ave From E Garfield Blvd To S 5430,S Calumet Ave And E Garfield Blvd,5430 S Calumet Ave,"[41.7948, -87.617582]","[41.79551068076017, -87.61766828608654]"
2107,On S Clark St From W Harrison St To S 601,S Clark St And W Harrison St,601 S Clark St,"[41.8745117, -87.6306724]","[41.874263, -87.630362]"
2109,On S Forrestville Ave From E 50th St To E 51st St,S Forrestville Ave And E 50th St,S Forrestville Ave And E 51st St,"[41.803967, -87.612554]","[41.8021426, -87.612526]"
2110,On S Indiana Ave From E 107th St To E 111th St,S Indiana Ave And E 107th St,S Indiana Ave And E 111th St,"[41.699939, -87.618445]","[41.692648, -87.61826]"
2111,On S Jeffery Blvd From E 80th St To E 83rd St,S Jeffery Blvd And E 80th St,S Jeffery Blvd And E 83rd St,"[41.749793, -87.575957]","[41.744338, -87.575863]"
2112,On S Longwood Dr From W 115th St To W 116th Pl,S Longwood Dr And W 115th St,S Longwood Dr And W 116th Pl,"[41.684635, -87.673436]","[41.68189, -87.674409]"
2114,On N Mont Clare Ave From W Foster Ave To W Carmen Ave,N Mont Clare Ave And W Foster Ave,N Mont Clare Ave And W Carmen Ave,"[41.975469, -87.804736]","[41.9737075, -87.8047601]"
2115,On N Southport Ave From W School St To W Henderson St,N Southport Ave And W School St,N Southport Ave And W Henderson St,"[41.94162, -87.663882]","[41.942524, -87.663885]"
2116,On N Mcalpin Ave From N Hiawatha Ave To N Sioux Ave,N Mcalpin Ave And N Hiawatha Ave,N Mcalpin Ave And N Sioux Ave,"[42.00936, -87.779795]","[42.0098822, -87.7787499]"
2117,On N Melvina Ave From W Grand Ave To W Palmer St,N Melvina Ave And W Grand Ave,N Melvina Ave And W Palmer St,"[41.921475, -87.780464]","[41.9201277, -87.7804723]"
2118,On E Burton Pl From N State Pkwy To N Astor St,E Burton Pl And N State Pkwy,E Burton Pl And N Astor St,"[41.9094779, -87.6288301]","[41.9094943, -87.6276]"
2119,On E Delaware Pl From N Michigan Ave To E 110,E Delaware Pl And N Michigan Ave,110 E Delaware Pl,"[41.899232, -87.624204]","[41.899384, -87.625699]"
2120,On E Jackson Blvd From S Wabash Ave To E 75,E Jackson Blvd And S Wabash Ave,75 E Jackson Blvd,"[41.87825, -87.626068]","[41.878164, -87.624762]"
2121,On E Ohio St From N State St To N Michigan Ave,E Ohio St And N State St,E Ohio St And N Michigan Ave,"[41.892492, -87.628083]","[41.892558, -87.624101]"
2122,On N Artesian Ave From W Ohio St To N 532,N Artesian Ave And W Ohio St,532 N Artesian Ave,"[41.892111, -87.688015]","[41.89131212516226, -87.68805032519909]"
2123,On N Austin Ave From W Waveland Ave To W Addison St,N Austin Ave And W Waveland Ave,N Austin Ave And W Addison St,"[41.947589, -87.776547]","[41.945791, -87.776466]"
2124,On N Campbell Ave From W Fullerton Ave To W Belden Ave,N Campbell Ave And W Fullerton Ave,N Campbell Ave And W Belden Ave,"[41.924922, -87.690082]","[41.923259, -87.689327]"
2125,On N Central Ave From W Wrightwood Ave To W Fullerton Ave,N Central Ave And W Wrightwood Ave,N Central Ave And W Fullerton Ave,"[41.9276558, -87.7660928]","[41.923949, -87.765979]"
2126,On N Cicero Ave From W Glenlake Ave To N Caldwell Ave,N Cicero Ave And W Glenlake Ave,N Cicero Ave And N Caldwell Ave,"[41.9914013, -87.7483308]","[41.9887537, -87.7483266]"
2127,On N Cleveland Ave From W Belden Ave To W Fullerton Pkwy,N Cleveland Ave And W Belden Ave,N Cleveland Ave And W Fullerton Pkwy,"[41.923736, -87.641393]","[41.92559, -87.641444]"
2128,On N California Ave From W George St To W Schubert Ave,N California Ave And W George St,N California Ave And W Schubert Ave,"[41.9344172, -87.6976618]","[41.930299, -87.697559]"
2129,On N Lincoln Ave From W Peterson Ave To N Whipple St,N Lincoln Ave And W Peterson Ave,N Lincoln Ave And N Whipple St,"[41.990439, -87.707376]","[41.988983, -87.705137]"
2130,On N Greenview Ave From W Division St To W Potomac Ave,N Greenview Ave And W Division St,N Greenview Ave And W Potomac Ave,"[41.903401, -87.66501]","[41.905173, -87.665074]"
2131,On N Hamlin Ave From W Palmer St To W Dickens Ave,N Hamlin Ave And W Palmer St,N Hamlin Ave And W Dickens Ave,"[41.9208925, -87.7217882]","[41.91908685, -87.7216988]"
2132,On N Hiawatha Ave From N Jean Ave To N Loleta Ave,N Hiawatha Ave And N Jean Ave,N Hiawatha Ave And N Loleta Ave,"[42.0050874, -87.7740623]","[42.003764, -87.7712245]"
2133,On N Keating Ave From N 4700 To N 4647,4700 N Keating Ave,4647 N Keating Ave,"[41.973467632300256, -87.74697507738549]","[41.965802, -87.746093]"
2134,On N Kedzie Ave From W Diversey Ave To N Milwaukee Ave,N Kedzie Ave And W Diversey Ave,N Kedzie Ave And N Milwaukee Ave,"[41.932049, -87.707402]","[41.92891255, -87.70738245]"
2135,On N Kercheval Ave From N Kirby Ave To N Rogers Ave,N Kercheval Ave And N Kirby Ave,N Kercheval Ave And N Rogers Ave,"[41.9851252, -87.7450675]","[41.9844147, -87.743543]"
2136,On N Laramie Ave From W Diversey Ave To W Schubert Ave,N Laramie Ave And W Diversey Ave,N Laramie Ave And W Schubert Ave,"[41.931413, -87.75639]","[41.929613, -87.756353]"
2137,On N Lemont Ave From N Hiawatha Ave To N Ionia Ave,N Lemont Ave And N Hiawatha Ave,N Lemont Ave And N Ionia Ave,"[41.992139, -87.7464513]","[41.9937274, -87.7451063]"
2138,On N Elston Ave From N Luna Ave To N Lotus Ave,N Elston Ave And N Luna Ave,N Elston Ave And N Lotus Ave,"[41.9842237, -87.7667881]","[41.982994950000005, -87.7646263]"
2139,On N Sheridan Rd From W Howard St To W Birchwood Ave,N Sheridan Rd And W Howard St,N Sheridan Rd And W Birchwood Ave,"[42.019268, -87.666073]","[42.018218, -87.665768]"
2140,On N Sauganash Ave From N Tripp Ave To N Keeler Ave,N Sauganash Ave And N Tripp Ave,N Sauganash Ave And N Keeler Ave,"[41.9911921, -87.7352474]","[41.9906267, -87.7340204]"
2141,On N Sacramento Ave From W Jerome St To W Sherwin Ave,N Sacramento Ave And W Jerome St,N Sacramento Ave And W Sherwin Ave,"[42.018335, -87.70432]","[42.0146955, -87.7044184]"
2142,On N Rockwell St From W Wabansia Ave To W Le Moyne St,N Rockwell St And W Wabansia Ave,N Rockwell St And W Le Moyne St,"[41.912097, -87.692115]","[41.90846, -87.692047]"
2143,On N Oak Park Ave From W Byron St To W Grace St,N Oak Park Ave And W Byron St,N Oak Park Ave And W Grace St,"[41.950938, -87.796171]","[41.949119, -87.796105]"
2144,On N Pulaski Rd From W Peterson Ave To W Bryn Mawr Ave,N Pulaski Rd And W Peterson Ave,N Pulaski Rd And W Bryn Mawr Ave,"[41.9901482, -87.7286502]","[41.9828425, -87.7284579]"
2145,On N Ozanam Ave From W Bryn Mawr Ave To W Gregory St,N Ozanam Ave And W Bryn Mawr Ave,N Ozanam Ave And W Gregory St,"[41.981437, -87.821771]","[41.980526, -87.821766]"
2146,On N Odell Ave From W Chase Ave To W Jarvis Ave,N Odell Ave And W Chase Ave,N Odell Ave And W Jarvis Ave,"[42.0134361, -87.8102752]","[42.0152544, -87.8102932]"
2147,On N Springfield Ave From W Addison St To W Cornelia Ave,N Springfield Ave And W Addison St,N Springfield Ave And W Cornelia Ave,"[41.946423, -87.72495]","[41.944586, -87.724881]"
2148,On N Racine Ave From W Melrose St To W Belmont Ave,N Racine Ave And W Melrose St,N Racine Ave And W Belmont Ave,"[41.940737, -87.6589814]","[41.9398663, -87.6589761]"
2149,On N State St From W Lake St To N 177,N State St And W Lake St,177 N State St,"[41.8858344, -87.6280104]","[41.88556, -87.627653]"
2150,On S Loomis St From W 15th St To W 16th St,S Loomis St And W 15th St,S Loomis St And W 16th St,"[41.8615333, -87.6614108]","[41.859696, -87.661367]"
2151,On N Western Ave From N 404 To W Grand Ave,404 N Western Ave,N Western Ave And W Grand Ave,"[41.888777, -87.687006]","[41.890672, -87.686675]"
