,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long
799,[170 -02] 40775,On S Ada St From W 79th St To W 77th St,2018-2022,S Ada St And W 79th St,S Ada St And W 77th St,"[41.750444, -87.656992]","[41.754078, -87.657062]"
800,[170 -02] 40775,On W 77th St From S Ada St To S Loomis Blvd,2018-2022,W 77th St And S Ada St,W 77th St And S Loomis Blvd,"[41.754078, -87.657062]","[41.754071, -87.658693]"
801,[170 -02] 40775,On W 77th St From S Loomis Blvd To S Bishop St,2018-2022,W 77th St And S Loomis Blvd,W 77th St And S Bishop St,"[41.754071, -87.658693]","[41.754052, -87.660308]"
802,[170 -02] 40775,On W 86th St From S Bishop St To S Laflin St,2018-2022,W 86th St And S Bishop St,W 86th St And S Laflin St,"[41.737652, -87.659468]","[41.737643, -87.660691]"
803,[170 -02] 40775,On W 86th St From S Elizabeth St To S Throop St,2018-2022,W 86th St And S Elizabeth St,W 86th St And S Throop St,"[41.737724, -87.654607]","[41.737705, -87.655834]"
804,[170 -02] 40775,On W 86th St From S Racine Ave To S Elizabeth St,2018-2022,W 86th St And S Racine Ave,W 86th St And S Elizabeth St,"[41.737744, -87.653399]","[41.737724, -87.654607]"
805,[170 -02] 40775,On S Bishop St From W 85th St To W 86th St,2018-2022,S Bishop St And W 85th St,S Bishop St And W 86th St,"[41.739474, -87.659503]","[41.737652, -87.659468]"
806,[170 -02] 40775,On W 77th St From S Ada St To S Throop St,2018-2022,W 77th St And S Ada St,W 77th St And S Throop St,"[41.754078, -87.657062]","[41.7541171, -87.6554428]"
807,[170 -02] 40775,On W 79th St From S Throop St To S Ada St,2018-2022,W 79th St And S Throop St,W 79th St And S Ada St,"[41.750456, -87.656167]","[41.750444, -87.656992]"
808,[170 -02] 40775,On W 86th St From S Bishop St To S Loomis Blvd,2018-2022,W 86th St And S Bishop St,W 86th St And S Loomis Blvd,"[41.737652, -87.659468]","[41.737675, -87.658266]"
809,[170 -02] 40775,On W 86th St From S Laflin St To S Justine St,2018-2022,W 86th St And S Laflin St,W 86th St And S Justine St,"[41.737643, -87.660691]","[41.737632, -87.661916]"
810,[170 -02] 40776,On E 80th St From S Evans Ave To S Vernon Ave,2018-2022,E 80th St And S Evans Ave,E 80th St And S Vernon Ave,"[41.749415, -87.606412]","[41.749307, -87.613657]"
811,[170 -02] 40776,On E 82nd St From S Merrill Ave To S Jeffery Blvd,2018-2022,E 82nd St And S Merrill Ave,E 82nd St And S Jeffery Blvd,"[41.74619, -87.572284]","[41.746149, -87.57589]"
812,[170 -02] 40777,On N Leavitt St From W Lawrence Ave To W Leland Ave,2018-2022,N Leavitt St And W Lawrence Ave,N Leavitt St And W Leland Ave,"[41.9687233, -87.6840165]","[41.9668657, -87.6839924]"
813,[170 -02] 40777,N Seeley Ave And W Birchwood Ave,2018-2022,N Seeley Ave And W Birchwood Ave,,"[42.0179649, -87.681673]",
814,[170 -02] 40777,On W Hollywood Ave From N Lincoln Ave To N Rockwell Ave,2018-2022,W Hollywood Ave And N Lincoln Ave,W Hollywood Ave And N Rockwell Ave,"[41.9851257, -87.69908845]","[41.984959, -87.69435]"
815,[170 -02] 40778,On E 101st St From S Avenue M To S Avenue L,2018-2022,E 101st St And S Avenue M,E 101st St And S Avenue L,"[41.711963, -87.537701]","[41.711966, -87.536459]"
816,[170 -02] 40778,On E 104th St From S Avenue O To S Avenue E,2018-2022,E 104th St And S Avenue O,E 104th St And S Avenue E,"[41.706372, -87.540135]","[41.70638, -87.529201]"
817,[170 -02] 40778,On S Avenue G From E 106th St To E 103rd St,2018-2022,S Avenue G And E 106th St,S Avenue G And E 103rd St,"[41.702709, -87.531663]","[41.708218, -87.531673]"
818,[170 -02] 40778,On E 101st St From S Avenue N To S Avenue M,2018-2022,E 101st St And S Avenue N,E 101st St And S Avenue M,"[41.711957, -87.53892]","[41.711963, -87.537701]"
819,[170 -02] 40778,On S Avenue F From E 104th St To E 105th St,2018-2022,S Avenue F And E 104th St,S Avenue F And E 105th St,"[41.706381, -87.530417]","[41.704545, -87.530453]"
820,[170 -02] 40778,E 101st St And S Ewing Ave,2018-2022,E 101st St And S Ewing Ave,,"[41.711966, -87.535283]",
821,[170 -02] 40779,On S Perry Ave From W 112th St To W 113th St,2018-2022,S Perry Ave And W 112th St,S Perry Ave And W 113th St,"[41.69074, -87.625784]","[41.688915, -87.625728]"
822,[170 -02] 40779,On W 113th Pl From S Wentworth Ave To S Perry Ave,2018-2022,W 113th Pl And S Wentworth Ave,W 113th Pl And S Perry Ave,"[41.687974, -87.627781]","[41.6880192, -87.6256916]"
823,[170 -02] 40779,On W 128th Pl From S Halsted St To S Emerald Ave,2018-2022,W 128th Pl And S Halsted St,W 128th Pl And S Emerald Ave,"[41.660454, -87.64127]","[41.660472, -87.640121]"
824,[170 -02] 40779,On W 128th Pl From S Lowe Ave To S Wallace St,2018-2022,W 128th Pl And S Lowe Ave,W 128th Pl And S Wallace St,"[41.660502, -87.637744]","[41.66053, -87.636544]"
825,[170 -02] 40779,On W 112th Pl From S Perry Ave To S State St,2018-2022,W 112th Pl And S Perry Ave,W 112th Pl And S State St,"[41.689832, -87.62575]","[41.689868, -87.623033]"
826,[170 -02] 40779,On W 128th Pl From S Emerald Ave To S Lowe Ave,2018-2022,W 128th Pl And S Emerald Ave,W 128th Pl And S Lowe Ave,"[41.660472, -87.640121]","[41.660502, -87.637744]"
827,[170 -02] 40779,On W 128th Pl From S Halsted St To S Peoria St,2018-2022,W 128th Pl And S Halsted St,W 128th Pl And S Peoria St,"[41.660454, -87.64127]","[41.660452, -87.643757]"
828,[170 -02] 40779,S Halsted St And W 128th Pl,2018-2022,S Halsted St And W 128th Pl,,"[41.660451, -87.641405]",
829,[170 -02] 40780,On S Central Park Ave From W 86th St To W 87th St,2018-2022,S Central Park Ave And W 86th St,S Central Park Ave And W 87th St,"[41.736856, -87.712018]","[41.7350905, -87.7119964]"
830,[170 -02] 40780,On S Lawndale Ave From W 85th St To W 86th St,2018-2022,S Lawndale Ave And W 85th St,S Lawndale Ave And W 86th St,"[41.738645, -87.714255]","[41.736818, -87.714204]"
831,[170 -02] 40780,On W 68th St From S Kolmar Ave To S Kilbourn Ave,2018-2022,W 68th St And S Kolmar Ave,W 68th St And S Kilbourn Ave,"[41.7694367, -87.7357373]","[41.769383, -87.734713]"
832,[170 -02] 40780,W 85th St And S Lawndale Ave,2018-2022,W 85th St And S Lawndale Ave,,"[41.738645, -87.714255]",
833,[170 -02] 40780,On S Kolmar Ave From W Marquette Rd To W 68th St,2018-2022,S Kolmar Ave And W Marquette Rd,S Kolmar Ave And W 68th St,"[41.771199, -87.736005]","[41.7694367, -87.7357373]"
834,[170 -02] 40780,On W 60th St From S Monitor Ave To S Mason Ave,2018-2022,W 60th St And S Monitor Ave,W 60th St And S Mason Ave,"[41.783434, -87.7680205]","[41.783426, -87.770468]"
835,[170 -02] 40780,On W 86th St From S Lawndale Ave To S Central Park Ave,2018-2022,W 86th St And S Lawndale Ave,W 86th St And S Central Park Ave,"[41.736818, -87.714204]","[41.736856, -87.712018]"
836,[170 -02] 41000,On E 85th St From S Indiana Ave To S St Lawrence Ave,2018-2022,E 85th St And S Indiana Ave,E 85th St And S St Lawrence Ave,"[41.7400879, -87.6195382]","[41.7402392, -87.6097909]"
837,[170 -02] 41000,On E 96th St From S Houston Ave To S Commercial Ave,2018-2022,E 96th St And S Houston Ave,E 96th St And S Commercial Ave,"[41.720949, -87.549677]","[41.720915, -87.551064]"
838,[170 -02] 41000,On E 87th St From S State St To S Wabash Ave,2018-2022,E 87th St And S State St,E 87th St And S Wabash Ave,"[41.736224, -87.624194]","[41.736379, -87.622622]"
839,[170 -02] 41001,E 71st St And S Jeffery Blvd,2018-2022,E 71st St And S Jeffery Blvd,,"[41.76623, -87.576308]",
840,[170 -02] 41002,On W 72nd St From S Avers Ave To S Hamlin Ave,2018-2022,W 72nd St And S Avers Ave,W 72nd St And S Hamlin Ave,"[41.7623251, -87.7186716]","[41.7623478, -87.7174553]"
841,[170 -02] 41005,N Ottawa Ave And W Waveland Ave,2018-2022,N Ottawa Ave And W Waveland Ave,,"[41.946565, -87.818259]",
842,[170 -02] 41422,N Lake Shore Dr Sb And W Wilson Dr,2018-2022,N Lake Shore Dr Sb And W Wilson Dr,,"[41.9656495, -87.64719200000002]",
843,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2019-2023,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave,"[41.6585765, -87.5591909]","[41.658976137741, -87.5631430490206]"
844,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2019-2023,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]"
845,[170 -02] 37887,On S Avenue J From E 104th St To E 103rd St,2019-2023,S Avenue J And E 104th St,S Avenue J And E 103rd St,"[41.706384, -87.534067]","[41.708216, -87.534063]"
846,[170 -02] 37887,W Palatine Ave And N Natoma Ave,2019-2023,W Palatine Ave And N Natoma Ave,,"[41.995511, -87.7919665]",
847,[170 -02] 37887,W Ardmore Ave And N Austin Ave,2019-2023,W Ardmore Ave And N Austin Ave,,"[41.9865498, -87.7779736]",
848,[170 -02] 37887,W 77th St And S Perry Ave,2019-2023,W 77th St And S Perry Ave,,"[41.754527, -87.627919]",
849,[170 -02] 37887,W 73rd St And S Kedzie Ave,2019-2023,W 73rd St And S Kedzie Ave,,"[41.760748, -87.702544]",
850,[170 -02] 37887,W 65th St And S Lawndale Ave,2019-2023,W 65th St And S Lawndale Ave,,"[41.775104, -87.715331]",
851,[170 -02] 37887,W 58th St And S Halsted St,2019-2023,W 58th St And S Halsted St,,"[41.788861, -87.645025]",
852,[170 -02] 37887,W 52nd St And S Kedzie Ave,2019-2023,W 52nd St And S Kedzie Ave,,"[41.799038, -87.703717]",
853,[170 -02] 37887,W 107th St And S Morgan St,2019-2023,W 107th St And S Morgan St,,"[41.699583, -87.647486]",
854,[170 -02] 37887,W Polk St And S Pulaski Rd,2019-2023,W Polk St And S Pulaski Rd,,"[41.870952, -87.725327]",
855,[170 -02] 37887,S Morgan St And W 107th St,2019-2023,S Morgan St And W 107th St,,"[41.699583, -87.647486]",
856,[170 -02] 37887,S Kostner Ave And W 81st Pl,2019-2023,S Kostner Ave And W 81st Pl,,"[41.7440317, -87.7311419]",
857,[170 -02] 37887,S Emerald Ave And W 79th St,2019-2023,S Emerald Ave And W 79th St,,"[41.750643, -87.64284]",
858,[170 -02] 37887,S Ashland Ave And W 108th Pl,2019-2023,S Ashland Ave And W 108th Pl,,"[41.696677, -87.661981]",
859,[170 -02] 37887,N Sheffield Ave And W Wellington Ave,2019-2023,N Sheffield Ave And W Wellington Ave,,"[41.93627, -87.653966]",
860,[170 -02] 37887,N Drake Ave And W Foster Ave,2019-2023,N Drake Ave And W Foster Ave,,"[41.975607, -87.717228]",
861,[170 -02] 37887,On W 77th St From S Union Ave To S Lowe Ave,2019-2023,W 77th St And S Union Ave,W 77th St And S Lowe Ave,"[41.754311, -87.641701]","[41.754339, -87.640485]"
862,[170 -02] 37887,On S Halsted St From W 78th St To W 79th St,2019-2023,S Halsted St And W 78th St,S Halsted St And W 79th St,"[41.752467, -87.644107]","[41.750648, -87.64406]"
863,[170 -02] 37887,S Perry Ave And W Marquette Rd,2019-2023,S Perry Ave And W Marquette Rd,,"[41.772792, -87.62837]",
864,[170 -02] 37887,W 58th Pl And S Hamlin Ave,2019-2023,W 58th Pl And S Hamlin Ave,,"[41.78692, -87.718063]",
865,[170 -02] 37887,W 59th St And S Nashville Ave,2019-2023,W 59th St And S Nashville Ave,,"[41.7849132, -87.786413]",
866,[170 -02] 37887,W Madison St And N Menard Ave,2019-2023,W Madison St And N Menard Ave,,"[41.88322830200195, -87.63240051269531]",
867,[170 -02] 37887,W 77th St And S Emerald Ave,2019-2023,W 77th St And S Emerald Ave,,"[41.754287, -87.642924]",
868,[170 -02] 37887,W 79th St And S Karlov Ave,2019-2023,W 79th St And S Karlov Ave,,"[41.749544, -87.724303]",
869,[170 -02] 37887,W 52nd St And S Francisco Ave,2019-2023,W 52nd St And S Francisco Ave,,"[41.799147, -87.696395]",
870,[170 -02] 37887,W 66th St And S Pulaski Rd,2019-2023,W 66th St And S Pulaski Rd,,"[41.773182, -87.722698]",
871,[170 -02] 37887,W 104th St And S Hoyne Ave,2019-2023,W 104th St And S Hoyne Ave,,"[41.7046756, -87.6743016]",
872,[170 -02] 37887,N Washtenaw Ave And W Argyle St,2019-2023,N Washtenaw Ave And W Argyle St,,"[41.972194, -87.696362]",
873,[170 -02] 37887,S Lafayette Ave And W 115th St,2019-2023,S Lafayette Ave And W 115th St,,"[41.685304, -87.624128]",
874,[170 -02] 37887,S Karlov Ave And W 79th St,2019-2023,S Karlov Ave And W 79th St,,"[41.749549, -87.723984]",
875,[170 -02] 37887,S Carpenter St And W 64th St,2019-2023,S Carpenter St And W 64th St,,"[41.777835, -87.650815]",
876,[170 -02] 37887,N Elston Ave And W Augusta Blvd,2019-2023,N Elston Ave And W Augusta Blvd,,"[41.8998926, -87.6566581]",
877,[170 -02] 37887,E 43rd St And S Vernon Ave,2019-2023,E 43rd St And S Vernon Ave,,"[41.816684, -87.615256]",
878,[170 -02] 37887,On W 62nd St From S Ashland Ave To S Laflin St,2019-2023,W 62nd St And S Ashland Ave,W 62nd St And S Laflin St,"[41.7813113, -87.6643563]","[41.781327, -87.661847]"
879,[170 -02] 37887,On S Green Bay Ave From E 103rd St To E 106th St,2019-2023,S Green Bay Ave And E 103rd St,S Green Bay Ave And E 106th St,"[41.708192, -87.541328]","[41.702754, -87.54132]"
880,[170 -02] 37887,W Palmer St And N Cicero Ave,2019-2023,W Palmer St And N Cicero Ave,,"[41.920602, -87.746281]",
881,[170 -02] 37887,S Perry Ave And W 68th St,2019-2023,S Perry Ave And W 68th St,,"[41.770897, -87.628291]",
882,[170 -02] 37887,7503-7859 S Emerald Ave,2019-2023,7503 S Emerald Ave,7859 S Emerald Ave,"[41.7576024537777, -87.6429517375863]","[41.7489633, -87.64263]"
883,[170 -02] 38307,On S Ada St From W 79th St To W 77th St,2019-2023,S Ada St And W 79th St,S Ada St And W 77th St,"[41.750444, -87.656992]","[41.754078, -87.657062]"
884,[170 -02] 38307,On W 77th St From S Loomis Blvd To S Bishop St,2019-2023,W 77th St And S Loomis Blvd,W 77th St And S Bishop St,"[41.754071, -87.658693]","[41.754052, -87.660308]"
885,[170 -02] 38307,On W 77th St From S Ada St To S Throop St,2019-2023,W 77th St And S Ada St,W 77th St And S Throop St,"[41.754078, -87.657062]","[41.7541171, -87.6554428]"
886,[170 -02] 38309,On E 86th St From S Jeffery Blvd To S Cregier Ave,2019-2023,E 86th St And S Jeffery Blvd,E 86th St And S Cregier Ave,"[41.738867, -87.575752]","[41.7387842, -87.580589]"
887,[170 -02] 38309,On W 50th St From S Western Ave To S Oakley Ave,2019-2023,W 50th St And S Western Ave,W 50th St And S Oakley Ave,"[41.8029714, -87.6843143]","[41.8029794, -87.6818359]"
888,[170 -02] 38309,On W 54th St From S Kenneth Ave To S Kolin Ave,2019-2023,W 54th St And S Kenneth Ave,W 54th St And S Kolin Ave,"[41.794955, -87.7342594]","[41.794995, -87.73176]"
889,[170 -02] 38309,On W 62nd St From S Hamlin Ave To S Lawndale Ave,2019-2023,W 62nd St And S Hamlin Ave,W 62nd St And S Lawndale Ave,"[41.7805477, -87.7178979]","[41.780581, -87.715462]"
890,[170 -02] 38309,On W Albion Ave From N Sayre Ave To N Nixon Ave,2019-2023,W Albion Ave And N Sayre Ave,W Albion Ave And N Nixon Ave,"[42.0015351, -87.801613]","[42.0015122, -87.8041383]"
891,[170 -02] 38309,On W Byron St From N Sayre Ave To N Nottingham Ave,2019-2023,W Byron St And N Sayre Ave,W Byron St And N Nottingham Ave,"[41.95085, -87.801024]","[41.950785, -87.804741]"
892,[170 -02] 38309,On W Carmen Ave From N Ravenswood Ave To N Paulina St,2019-2023,W Carmen Ave And N Ravenswood Ave,W Carmen Ave And N Paulina St,"[41.974253, -87.6743631]","[41.88322830200195, -87.63240051269531]"
893,[170 -02] 38309,On W Cortland St From N Sayre Ave To N Neva Ave,2019-2023,W Cortland St And N Sayre Ave,W Cortland St And N Neva Ave,"[41.914459, -87.80041]","[41.914415, -87.804097]"
894,[170 -02] 38309,On W Estes Ave From N Ionia Ave To N Mason Ave,2019-2023,W Estes Ave And N Ionia Ave,W Estes Ave And N Mason Ave,"[42.0100376, -87.7756251]","[42.0101393, -87.7741767]"
895,[170 -02] 38309,On W Hirsch St From N Spaulding Ave To N Kedzie Ave,2019-2023,W Hirsch St And N Spaulding Ave,W Hirsch St And N Kedzie Ave,"[41.9064535, -87.7093508]","[41.9064863, -87.7069114]"
896,[170 -02] 38309,On W Madison St From S Francisco Ave To S Sacramento Blvd,2019-2023,W Madison St And S Francisco Ave,W Madison St And S Sacramento Blvd,"[41.8810754, -87.6987378]","[41.881051, -87.701231]"
897,[170 -02] 38309,On W Ohio St From N Kedzie Ave To N Albany Ave,2019-2023,W Ohio St And N Kedzie Ave,W Ohio St And N Albany Ave,"[41.891914, -87.706472]","[41.891921, -87.703967]"
898,[170 -02] 38309,On W School St From N Octavia Ave To N Oconto Ave,2019-2023,W School St And N Octavia Ave,W School St And N Oconto Ave,"[41.939768, -87.80921]","[41.939792, -87.80798]"
899,[170 -02] 38309,On W School St From N Western Ave To N Claremont Ave,2019-2023,W School St And N Western Ave,W School St And N Claremont Ave,"[41.9412976, -87.6880774]","[41.941314, -87.68687]"
900,[170 -02] 38309,On W Washington Blvd From N Laramie Ave To N Latrobe Ave,2019-2023,W Washington Blvd And N Laramie Ave,W Washington Blvd And N Latrobe Ave,"[41.8823853, -87.7551055]","[41.882358, -87.756319]"
901,[170 -02] 38309,On W Winnemac Ave From N Glenwood Ave To N Clark St,2019-2023,W Winnemac Ave And N Glenwood Ave,W Winnemac Ave And N Clark St,"[41.9734097, -87.6647005]","[41.9734077, -87.6680938]"
902,[170 -02] 38309,N Kentucky Ave And N Kilbourn Ave,2019-2023,N Kentucky Ave And N Kilbourn Ave,,"[41.9709098, -87.740512]",
903,[170 -02] 38309,N Oketo Ave And W School St,2019-2023,N Oketo Ave And W School St,,"[41.9397339, -87.8114265]",
904,[170 -02] 38309,N Spaulding Ave And N Elston Ave,2019-2023,N Spaulding Ave And N Elston Ave,,"[41.947724, -87.710402]",
905,[170 -02] 38309,S Christiana Ave And W 54th St,2019-2023,S Christiana Ave And W 54th St,,"[41.795302, -87.70725]",
906,[170 -02] 38309,S Drake Ave And W Cermak Rd,2019-2023,S Drake Ave And W Cermak Rd,,"[41.8517, -87.713747]",
907,[170 -02] 38309,S Lafayette Ave And W 122nd St,2019-2023,S Lafayette Ave And W 122nd St,,"[41.672488, -87.623644]",
908,[170 -02] 38309,S Perry Ave And W 122nd St,2019-2023,S Perry Ave And W 122nd St,,"[41.672491, -87.624844]",
909,[170 -02] 38309,W 60th St And W 62nd St,2019-2023,W 60th St And W 62nd St,,"[41.88322830200195, -87.63240051269531]",
910,[170 -02] 38309,On W 46th St From S Laflin St To S Bishop St,2019-2023,W 46th St And S Laflin St,W 46th St And S Bishop St,"[41.8104757, -87.662587]","[41.8104813, -87.6613607]"
911,[170 -02] 38309,On W 122nd St From S Perry Ave To S Lafayette Ave,2019-2023,W 122nd St And S Perry Ave,W 122nd St And S Lafayette Ave,"[41.672491, -87.624844]","[41.672488, -87.623644]"
912,[170 -02] 38309,W Cullom Ave And N Campbell Ave,2019-2023,W Cullom Ave And N Campbell Ave,,"[41.959478, -87.6917553]",
913,[170 -02] 38309,On W 101st St From S Oakley Ave To S Bell Ave,2019-2023,W 101st St And S Oakley Ave,W 101st St And S Bell Ave,"[41.7100441, -87.6793254]","[41.7100561, -87.6785154]"
914,[170 -02] 38309,On W 108th St From S Sacramento Ave To S Troy St,2019-2023,W 108th St And S Sacramento Ave,W 108th St And S Troy St,"[41.69709, -87.696325]","[41.6970632, -87.6998568]"
915,[170 -02] 38309,On N Fairfield Ave From W Augusta Blvd To W Iowa St,2019-2023,N Fairfield Ave And W Augusta Blvd,N Fairfield Ave And W Iowa St,"[41.8992998, -87.6955649]","[41.8974882, -87.695525]"
916,[170 -02] 38309,On N Hoyne Ave From W Moffat St To W Churchill St,2019-2023,N Hoyne Ave And W Moffat St,N Hoyne Ave And W Churchill St,"[41.9154247, -87.6800219]","[41.9146809, -87.6800125]"
917,[170 -02] 38309,On N Keeler Ave From N Sauganash Ave To W Glenlake Ave,2019-2023,N Keeler Ave And N Sauganash Ave,N Keeler Ave And W Glenlake Ave,"[41.9906267, -87.7340204]","[41.9919265, -87.7337284]"
918,[170 -02] 38309,On N Kenneth Ave From W Lawrence Ave To W Ainslie St,2019-2023,N Kenneth Ave And W Lawrence Ave,N Kenneth Ave And W Ainslie St,"[41.968141, -87.739177]","[41.969965, -87.73921]"
919,[170 -02] 38309,On N Kilbourn Ave From W Carmen Ave To N Kentucky Ave,2019-2023,N Kilbourn Ave And W Carmen Ave,N Kilbourn Ave And N Kentucky Ave,"[41.9735822, -87.7406109]","[41.9709098, -87.740512]"
920,[170 -02] 38309,On N Laporte Ave From W Palmer St To W Belden Ave,2019-2023,N Laporte Ave And W Palmer St,N Laporte Ave And W Belden Ave,"[41.9205376, -87.7498697]","[41.9223563, -87.7498819]"
921,[170 -02] 38309,On N Leavitt St From W Waveland Ave To W Bradley Pl,2019-2023,N Leavitt St And W Waveland Ave,N Leavitt St And W Bradley Pl,"[41.948629, -87.683434]","[41.949531, -87.683465]"
922,[170 -02] 38309,On N Lotus Ave From W Addison St To W Waveland Ave,2019-2023,N Lotus Ave And W Addison St,N Lotus Ave And W Waveland Ave,"[41.945935, -87.763033]","[41.947764, -87.763112]"
923,[170 -02] 38309,On N Lowell Ave From W Ainslie St To W Argyle St,2019-2023,N Lowell Ave And W Ainslie St,N Lowell Ave And W Argyle St,"[41.969983, -87.736714]","[41.9717999, -87.7367682]"
